City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
183,Saint-Philippe,RE,2021-05-28 01:49:51,-21.3585,55.7679,71.19,78,32,3.27,scattered clouds
184,Lompoc,US,2021-05-28 01:49:51,34.6391,-120.4579,70.41,82,90,16.11,overcast clouds
185,Polignano A Mare,IT,2021-05-28 01:49:51,40.9959,17.2159,66.69,59,2,7.23,clear sky
186,Maceio,BR,2021-05-28 01:49:52,-9.6658,-35.7353,78.24,83,75,9.64,broken clouds
187,Pangody,RU,2021-05-28 01:49:52,65.85,74.4859,36.14,60,77,11.83,broken clouds
188,Athabasca,CA,2021-05-28 01:45:35,54.7169,-113.2854,73.09,67,90,6.93,light rain
189,Tucuma,BR,2021-05-28 01:49:53,-0.1833,-50.05,75.16,96,100,6.6,overcast clouds
190,San Quintin,MX,2021-05-28 01:49:53,30.4833,-115.95,60.51,74,0,15.28,clear sky
191,Tocopilla,CL,2021-05-28 01:49:53,-22.092,-70.1979,66.65,75,83,1.45,broken clouds
192,Yellowknife,CA,2021-05-28 01:48:02,62.456,-114.3525,57.72,38,75,4.61,broken clouds
193,Baglan,AF,2021-05-28 01:49:54,36.1307,68.7083,82.63,23,79,3.13,broken clouds
194,Korla,CN,2021-05-28 01:49:54,41.7597,86.1469,81.16,12,2,3.56,clear sky
195,Bowen,AU,2021-05-28 01:49:54,-20.0167,148.2333,73.62,38,0,8.72,clear sky
196,Bethel,US,2021-05-28 01:49:55,41.3712,-73.414,70.38,53,1,6.91,clear sky
197,Mount Gambier,AU,2021-05-28 01:49:55,-37.8333,140.7667,55.31,76,90,10.36,overcast clouds
198,Ust-Maya,RU,2021-05-28 01:45:53,60.4167,134.5333,55.89,64,90,7.02,light rain
199,Mayo,US,2021-05-28 01:49:55,38.8876,-76.5119,75.58,78,1,4.79,clear sky
200,Necochea,AR,2021-05-28 01:49:56,-38.5473,-58.7368,60.04,67,100,14.36,light rain
201,Simoes,BR,2021-05-28 01:49:56,-7.5989,-40.8178,72.34,56,82,10.47,broken clouds
202,Prince Rupert,CA,2021-05-28 01:45:06,54.3161,-130.3201,55.09,81,40,11.5,scattered clouds
203,Pailon,BO,2021-05-28 01:49:57,-17.65,-62.75,76.1,66,81,7.87,broken clouds
204,Saint-Pierre,RE,2021-05-28 01:45:26,-21.3393,55.4781,71.28,72,0,9.22,clear sky
205,Kungurtug,RU,2021-05-28 01:49:57,50.5994,97.5228,64.89,47,7,1.1,clear sky
206,Kudahuvadhoo,MV,2021-05-28 01:49:57,2.6708,72.8944,84.09,74,100,19.39,overcast clouds
207,Chuy,UY,2021-05-28 01:49:58,-33.6971,-53.4616,55.24,90,0,7.09,clear sky
208,Konibodom,TJ,2021-05-28 01:49:58,40.2843,70.4426,74.97,34,0,4.79,clear sky
209,Oswego,US,2021-05-28 01:49:58,43.4501,-76.1497,53.83,87,79,1.41,broken clouds
210,Vostok,RU,2021-05-28 01:49:59,46.4856,135.8833,59.43,45,98,2.3,overcast clouds
211,Kabinda,CD,2021-05-28 01:49:59,-6.1333,24.4833,67.14,59,100,3.4,overcast clouds
212,Tangwani,PK,2021-05-28 01:49:59,28.2787,68.9972,85.93,47,0,12.28,clear sky
213,Vanimo,PG,2021-05-28 01:50:00,-2.6741,141.3028,84.4,75,66,3.49,broken clouds
214,Kiama,AU,2021-05-28 01:50:00,-34.6833,150.8667,63.37,40,52,20.96,broken clouds
215,Manoharpur,IN,2021-05-28 01:50:01,27.3,75.95,88.75,18,30,6.76,scattered clouds
216,Jinchang,CN,2021-05-28 01:50:02,38.4953,102.1739,70.77,18,94,2.51,overcast clouds
217,Mayahi,NE,2021-05-28 01:50:03,13.9553,7.6712,82.06,10,100,7.45,overcast clouds
218,Freeport,US,2021-05-28 01:50:04,40.6576,-73.5832,73.58,49,1,1.99,clear sky
219,Manakara,MG,2021-05-28 01:50:04,-22.1333,48.0167,64.09,94,17,3.91,few clouds
220,Matay,EG,2021-05-28 01:50:04,28.419,30.7792,74.7,42,0,9.01,clear sky
221,Dongsheng,CN,2021-05-28 01:50:05,39.8161,109.9776,62.1,19,0,11.77,clear sky
222,Kwidzyn,PL,2021-05-28 01:50:05,53.7249,18.9311,47.26,90,22,6.06,few clouds
223,Sinjar,IQ,2021-05-28 01:50:05,36.3209,41.8754,77.2,22,0,6.49,clear sky
224,Rio Gallegos,AR,2021-05-28 01:50:06,-51.6226,-69.2181,28.45,86,20,16.11,few clouds
225,Ishigaki,JP,2021-05-28 01:50:06,24.3448,124.1572,86.13,84,75,17.27,broken clouds
226,College,US,2021-05-28 01:50:06,64.8569,-147.8028,57.58,44,75,19.57,broken clouds
227,Asau,RO,2021-05-28 01:50:07,46.4333,26.4,58.39,100,71,3.76,broken clouds
228,Coari,BR,2021-05-28 01:50:07,-4.085,-63.1414,79.07,77,100,2.01,overcast clouds
229,Dakar,SN,2021-05-28 01:50:07,14.6937,-17.4441,70.68,84,5,15.77,clear sky
230,Songjianghe,CN,2021-05-28 01:50:08,42.1859,127.479,54.19,76,100,0.96,overcast clouds
231,Issaquah,US,2021-05-28 01:49:59,47.5301,-122.0326,58.41,85,40,1.01,light rain
232,Honiara,SB,2021-05-28 01:50:08,-9.4333,159.95,78.4,86,100,1.48,overcast clouds
233,Baykit,RU,2021-05-28 01:50:09,61.67,96.37,44.64,73,100,11.16,light rain
234,Tiznit,MA,2021-05-28 01:50:09,29.5833,-9.5,63.5,75,94,2.15,overcast clouds
235,Presidente Dutra,BR,2021-05-28 01:50:09,-5.29,-44.49,72.45,68,29,2.42,scattered clouds
236,Roald,NO,2021-05-28 01:50:10,62.5833,6.1333,48.34,93,90,9.22,overcast clouds
237,Ha Giang,VN,2021-05-28 01:50:10,22.8333,104.9833,85.41,80,96,3.31,overcast clouds
238,Ladario,BR,2021-05-28 01:50:10,-19.0047,-57.6017,75.99,59,46,2.06,scattered clouds
239,Ascension,US,2021-05-28 01:50:11,30.2169,-90.9001,80.6,74,1,6.91,clear sky
240,Oeiras,BR,2021-05-28 01:48:36,-7.0253,-42.1311,73.87,49,19,4.59,few clouds
241,Fort Collins,US,2021-05-28 01:48:21,40.5853,-105.0844,73.99,41,1,1.01,clear sky
242,Khatanga,RU,2021-05-28 01:50:12,71.9667,102.5,31.69,88,92,11.68,overcast clouds
243,Miraflores,MX,2021-05-28 01:50:12,19.2167,-98.8083,73.87,60,97,2.21,overcast clouds
244,Dingle,PH,2021-05-28 01:50:12,10.9995,122.6711,88.63,63,59,4.45,broken clouds
