City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
460,Palmerston,AU,82.89,clear sky,-12.485999999999999,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
462,Kharan,PK,88.09,clear sky,28.5833,65.4167,Dil Aram Bangla
463,Salalah,OM,78.87,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
466,Tecolutla,MX,81.79,overcast clouds,20.4833,-97.0167,Hotel Plaza Marsol
481,Nhulunbuy,AU,83.01,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
484,Tura,IN,79.21,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
487,Tomobe,JP,78.71,overcast clouds,36.35,140.3,湯泉荘
491,Yanam,IN,88.2,broken clouds,16.7333,82.2167,The Regency Hotel
492,Escarcega,MX,81.1,broken clouds,18.6089,-90.7454,Hotel Maria Isabel
493,Tezu,IN,77.81,overcast clouds,27.9167,96.1667,Circuit House
499,Trincomalee,LK,82.8,clear sky,8.5711,81.2335,Welcombe Hotel
503,Sorong,ID,83.64,few clouds,-0.8833,131.25,waigo splash hotel
506,Novita,CO,76.05,light rain,4.9551,-76.6053,B/ Buenos Aires Sector Las Curvitas
508,Bontang,ID,83.82,heavy intensity rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
509,Guaruja,BR,75.27,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
514,Teahupoo,PF,78.76,scattered clouds,-17.8333,-149.2667,Vanira Lodge
515,Kerema,PG,80.94,broken clouds,-7.9631,145.7785,Frena Lodge
519,Mareeba,AU,76.48,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
522,Matara,LK,80.22,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
528,Simao,CN,75.02,overcast clouds,22.7886,100.9748,Changyu Hotel
531,Planeta Rica,CO,76.26,few clouds,8.4147,-75.5883,HOTEL MEDIA LUNA
540,Laureles,US,83.1,broken clouds,26.1092,-97.4941,Los Fresnos Inn
544,Mumford,GH,79.43,light rain,5.2618,-0.759,Spanish Villa
550,Wewak,PG,84.24,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
557,San Juan Del Sur,NI,81.3,overcast clouds,11.2529,-85.8705,Nuestra Casa
558,Tomatlan,MX,77.07,scattered clouds,19.9333,-105.25,Norma franco
559,Ambulu,ID,84.58,clear sky,-8.345,113.6058,Hotel Ambulu Jember
560,Cairns,AU,81.1,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
565,Miri,MY,77.14,moderate rain,4.4148,114.0089,"Mega Hotel, Miri"
567,Davila,PH,89.58,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
577,Ormara,PK,84.51,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
578,Sabang,ID,84.61,broken clouds,5.8933,95.3214,Hotel Citra
581,Alvarado,MX,84.29,overcast clouds,18.7667,-95.7667,Del Pastor
586,Tiarei,PF,84.22,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
587,Sibu,MY,80.91,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
591,Shunyi,CN,80.08,clear sky,40.125,116.6453,Beijing Mingchen Holiday Hotel
594,Massaguet,TD,89.64,overcast clouds,12.4755,15.4365,Alwatane
598,Lufkin,US,82.53,clear sky,31.3382,-94.7291,Courtyard by Marriott Lufkin
599,Kralendijk,BQ,82.38,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
601,Namatanai,PG,78.51,light rain,-3.6667,152.4333,Namatanai Hotel
604,Voh,NC,77.52,broken clouds,-20.9667,164.7,Le gîte du Koniambo
605,Amahai,ID,82.6,scattered clouds,-3.3333,128.9167,HOTEL ISABELA
607,Dibulla,CO,78.13,broken clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
608,Barabai,ID,89.2,few clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
609,Bubaque,GW,77.9,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
610,Mogadishu,SO,78.31,broken clouds,2.0371,45.3438,Hotel Juba
613,Babu,CN,85.62,broken clouds,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
620,Lufilufi,WS,89.38,scattered clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
624,Itarema,BR,78.13,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
625,Harindanga,IN,84.18,broken clouds,22.0383,88.3214,QARI ARIF BILLAH HOUSE. & THE INTERNATIONAL TAHFIZUL. QURAN MADRASAH MISSAIN
627,Cape Coast,GH,79.52,light rain,5.1053,-1.2466,Samrit Hotel
629,Fuerte Olimpo,PY,79.95,overcast clouds,-21.0415,-57.8738,Hospedaje DAMI
